Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
premium-cotton-tshirt,Premium Cotton T-Shirt,"High-quality cotton t-shirt with premium fabric and comfortable fit",StyleCo,Apparel,casual;tshirt;cotton,TRUE,Color,Navy Blue,Size,Small,,,TSH-NVY-S,200,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,123456789012,https://cdn.shopify.com/s/files/example1.jpg,1,Navy Blue T-Shirt,FALSE,Premium Cotton T-Shirt - Navy Blue Small,Comfortable navy blue cotton t-shirt in small size,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult,TSH001,T-Shirts,Cotton,new,FALSE,,,,,https://cdn.shopify.com/s/files/example1.jpg,kg,,15.00,active
premium-cotton-tshirt,Premium Cotton T-Shirt,,,,,,,Navy Blue,,Medium,,,TSH-NVY-M,200,shopify,150,deny,manual,29.99,39.99,TRUE,TRUE,123456789013,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/example2.jpg,kg,,15.00,active
premium-cotton-tshirt,Premium Cotton T-Shirt,,,,,,,Navy Blue,,Large,,,TSH-NVY-L,200,shopify,200,deny,manual,29.99,39.99,TRUE,TRUE,123456789014,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/example3.jpg,kg,,15.00,active
premium-cotton-tshirt,Premium Cotton T-Shirt,,,,,,,Charcoal Gray,,Small,,,TSH-GRY-S,200,shopify,80,deny,manual,29.99,39.99,TRUE,TRUE,123456789015,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/example4.jpg,kg,,15.00,active
premium-cotton-tshirt,Premium Cotton T-Shirt,,,,,,,Charcoal Gray,,Medium,,,TSH-GRY-M,200,shopify,120,deny,manual,29.99,39.99,TRUE,TRUE,123456789016,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/example5.jpg,kg,,15.00,active
premium-cotton-tshirt,Premium Cotton T-Shirt,,,,,,,Charcoal Gray,,Large,,,TSH-GRY-L,200,shopify,180,deny,manual,29.99,39.99,TRUE,TRUE,123456789017,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/example6.jpg,kg,,15.00,active
classic-hoodie,Classic Pullover Hoodie,"Warm and comfortable pullover hoodie with kangaroo pocket",StyleCo,Apparel,casual;hoodie;winter,TRUE,Color,Black,Size,Small,,,HDI-BLK-S,400,shopify,50,deny,manual,49.99,69.99,TRUE,TRUE,223456789012,https://cdn.shopify.com/s/files/example7.jpg,1,Black Hoodie,FALSE,Classic Pullover Hoodie - Black Small,Warm black pullover hoodie in small size,Apparel & Accessories > Clothing > Outerwear,Unisex,Adult,HDI001,Hoodies,Cotton Blend,new,FALSE,,,,,https://cdn.shopify.com/s/files/example7.jpg,kg,,25.00,active
classic-hoodie,Classic Pullover Hoodie,,,,,,,Black,,Medium,,,HDI-BLK-M,400,shopify,75,deny,manual,49.99,69.99,TRUE,TRUE,223456789013,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/example8.jpg,kg,,25.00,active
classic-hoodie,Classic Pullover Hoodie,,,,,,,Black,,Large,,,HDI-BLK-L,400,shopify,100,deny,manual,49.99,69.99,TRUE,TRUE,223456789014,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/example9.jpg,kg,,25.00,active
classic-hoodie,Classic Pullover Hoodie,,,,,,,Heather Gray,,Small,,,HDI-GRY-S,400,shopify,40,deny,manual,49.99,69.99,TRUE,TRUE,223456789015,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/example10.jpg,kg,,25.00,active
classic-hoodie,Classic Pullover Hoodie,,,,,,,Heather Gray,,Medium,,,HDI-GRY-M,400,shopify,60,deny,manual,49.99,69.99,TRUE,TRUE,223456789016,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/example11.jpg,kg,,25.00,active
classic-hoodie,Classic Pullover Hoodie,,,,,,,Heather Gray,,Large,,,HDI-GRY-L,400,shopify,90,deny,manual,49.99,69.99,TRUE,TRUE,223456789017,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/example12.jpg,kg,,25.00,active
